asset_id,ticker,asset_name,category,subcategory,status,shares_outstanding,offering_date,offering_price_per_share,offering_market_cap,first_trade_date,exit_date,exit_price_per_share,exit_value_total,exit_type,source_reference,verified_at,notes,rally_url,currency,implied_offering_market_cap,warning_reason,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,trading,2000.0,2021-04-01,13.5,27000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-04.,,,27000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,trading,15600.0,2020-11-01,5.0,78000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-11.,,,78000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,trading,1000.0,2020-09-01,9.8,9800.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,9800.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,trading,1850.0,2020-12-01,10.0,18500.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-12.,,,18500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,trading,6800.0,2021-01-01,5.0,34000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-01.,,,34000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,trading,4300.0,2021-08-01,25.0,107500.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-08.,,,107500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,trading,2000.0,2021-03-01,11.0,22000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-03.,,,22000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,trading,5100.0,2020-11-01,5.0,25500.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-11.,,,25500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,trading,1000.0,2020-09-01,54.0,54000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,54000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,trading,9000.0,2020-09-01,5.2,46800.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,46800.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
