asset_id,ticker,name,category,subcategory,issuer_cik,series_name,offering_date,offering_price,shares,market_cap_usd,last_price_usd,source_url,source_confidence,rarity_score,status,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade,exit_date,exit_price_per_share,exit_value_total,exit_type
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,2021-04-01,13.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-04.,,,,,,,,,,
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,2020-11-01,5.0,15600,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,2020-09-01,9.8,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,2020-12-01,10.0,1850,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2021-01-01,5.0,6800,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-01.,,,,,,,,,,
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,2021-08-01,25.0,4300,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-08.,,,,,,,,,,
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,2021-03-01,11.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-03.,,,,,,,,,,
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2020-11-01,5.0,5100,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,2020-09-01,54.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,2020-09-01,5.2,9000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,2020-09-01,39.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-17dujac,17DUJAC,2017 Domaine Dujac Wine Collection,wine and whiskey,wine,,,2021-03-01,8.0,3250,,,,1.0,0.5,exited,inactive,buyout,completed,2025-05-13,,,,,,,,,,,,,,Exited wine asset; final realized buyout displays approximately $10.92/share.,,,,,,,2025-05-13,10.923077,35500.0,buyout
rally-59bond,59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,,,2021-02-01,8.0,10250,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-02.,,,,,,,,,,
rally-59jfk,59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,,,2020-11-01,13.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-62bond,62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,,,2020-12-01,6.0,15500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,,,2020-10-01,5.0,13800,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-10.,,,,,,,,,,
rally-7orlex,70RLEX,1970 Rolex Watch,watches,rolex,,,2019-11-01,20.0,1000,,,,1.0,0.5,exited,inactive,buyout,completed,2023-12-12,,,,,,,,,,,,,,"Exited via buyout for $30,000 / $30.00 per share.",,,,,,,2023-12-12,30.0,30000.0,buyout
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,,,2020-09-01,21.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,,,2020-03-01,38.0,500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-03.,,,,,,,,,,
rally-alice,ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,,,2020-09-01,1.0,12000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,,,2020-11-01,10.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,,,2019-12-01,75.0,1000,,,,1.0,0.5,exited,inactive,buyout,completed,2021-06-30,,,,,,,,,,,,,,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately.",,,,,,,2021-06-30,110.0,110000.0,buyout
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,2025-09-01,62.5,200000,,,,1.0,0.5,exited,inactive,other_exit,completed,,,,,,,,,,,,,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,,,,,,,,,,
