date,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_coverage_pct,carried_forward_coverage_pct
2019-11-01,6,0,0,0,0.0,0,0.0,0.0
2019-12-01,7,0,6,0,30.0,30,0.0,0.6785255036433776
2020-02-01,8,0,7,0,92.0,92,0.0,0.8163051084674597
2020-03-01,11,0,8,6,121.0,121,0.0,0.8170383076043454
2020-03-17,11,1,10,5,107.0,137,0.056818181818181816,0.9431818181818182
2020-04-01,12,0,11,6,91.0,152,0.0,0.9324503311258279
2020-04-28,12,1,11,5,72.5,179,0.16141732283464566,0.8385826771653543
2020-05-01,14,0,12,5,61.0,182,0.0,0.7094972067039106
2020-05-05,14,1,13,4,65.0,186,0.06685236768802229,0.9331476323119777
2020-05-12,14,1,13,3,64.0,193,0.03714020427112349,0.9628597957288765
2020-06-01,19,0,14,4,34.0,213,0.0,0.7977777777777778
2020-06-02,19,1,18,3,32.0,214,0.10979228486646884,0.8902077151335311
2020-06-09,19,1,18,3,39.0,221,0.03679175864606328,0.9632082413539367
2020-06-23,19,1,18,3,49.0,235,0.03717201166180758,0.9628279883381924
2020-06-30,19,1,18,4,49.0,242,0.03896103896103896,0.961038961038961
2020-07-01,21,0,19,4,30.0,243,0.0,0.8497854077253219
2020-08-04,21,1,20,5,64.0,277,0.07547054135246153,0.9245294586475384
2020-08-11,21,1,20,5,71.0,284,0.030467369447321917,0.9695326305526781
2020-08-18,21,1,20,4,78.0,291,0.04320356218785727,0.9567964378121427
2020-09-01,30,0,21,6,66.5,305,0.0,0.5768282947485336
2020-09-15,30,3,27,6,59.0,319,0.17037216046399226,0.8296278395360077
2020-09-29,30,1,29,6,52.5,333,0.022049197271411837,0.9779508027285881
2020-10-01,32,0,30,10,47.5,335,0.0,0.9349352573600463
2020-10-06,32,1,31,9,42.0,340,0.027035715433825182,0.9729642845661748
2020-10-13,32,2,30,8,42.0,347,0.03470771603946396,0.965292283960536
2020-10-20,32,1,31,8,49.0,354,0.01735385801973198,0.982646141980268
2020-11-01,38,0,32,10,61.0,366,0.0,0.8269859409466607
2020-11-05,38,1,37,10,65.0,370,0.03299856527977044,0.9670014347202296
2020-11-10,38,1,37,9,70.0,375,0.10168285118714729,0.8983171488128527
2020-11-17,38,2,36,7,63.0,382,0.025089969081048203,0.9749100309189518
2020-11-24,38,1,37,7,70.0,389,0.015167602002123465,0.9848323979978766
2020-12-01,44,2,36,6,52.5,396,0.04171645844649647,0.8210755024443237
2020-12-15,44,3,41,6,50.0,410,0.0747271759382486,0.9252728240617514
2020-12-22,44,3,41,6,51.0,417,0.05221395203290194,0.9477860479670981
2020-12-29,44,1,43,6,58.0,424,0.015845031132138632,0.9841549688678614
2020-12-30,44,1,43,6,59.0,425,0.06690918829647154,0.9330908117035285
2021-01-01,48,0,44,11,54.5,427,0.0,0.8190359551794103
2021-01-05,48,3,45,8,45.5,431,0.09736135543005277,0.9026386445699472
2021-01-12,48,1,47,8,45.5,438,0.015572632163688547,0.9844273678363115
2021-01-14,48,1,47,8,44.0,440,0.010369410239792612,0.9896305897602073
2021-01-19,48,1,47,8,49.0,445,0.009628738079807426,0.9903712619201925
2021-01-21,48,1,47,8,51.0,447,0.010548718423244193,0.9894512815767558
2021-02-01,50,0,48,10,62.0,458,0.0,0.9601954686805864
2021-02-02,50,1,49,9,63.0,459,0.007228531438796662,0.9927714685612034
2021-02-09,50,3,47,9,63.0,466,0.08945636016139308,0.910543639838607
2021-02-18,50,2,48,9,65.0,475,0.025348542458808618,0.9746514575411914
2021-02-23,50,2,48,9,63.0,480,0.017685788330881837,0.9823142116691181
2021-02-25,50,1,49,9,65.0,482,0.0041993281075028,0.9958006718924972
2021-03-01,52,0,50,9,65.5,486,0.0,0.9834801762114538
2021-03-02,52,3,49,12,60.0,487,0.054526766893716355,0.9454732331062836
2021-03-04,52,1,51,12,62.0,489,0.017445004622926225,0.9825549953770738
2021-03-09,52,2,50,12,65.0,494,0.05940247889096726,0.9405975211090327
2021-03-11,52,1,51,12,67.0,496,0.011659964528421163,0.9883400354715788
2021-03-16,52,2,50,12,66.5,501,0.01758172053870264,0.9824182794612973
2021-03-18,52,1,51,12,68.5,503,0.008868503156300273,0.9911314968436997
2021-03-23,52,2,50,12,70.0,508,0.0222521447260994,0.9777478552739006
2021-03-25,52,1,51,13,65.5,510,0.00553479511438279,0.9944652048856172
2021-03-30,52,1,51,12,57.0,515,0.01972460725299941,0.9802753927470006
2021-04-01,56,1,51,17,51.0,517,0.012196506039811428,0.9305476739399627
2021-04-06,56,1,55,17,56.0,522,0.00751659491478653,0.9924834050852135
2021-04-13,56,5,51,17,48.0,529,0.11798338522902503,0.8820166147709749
2021-04-15,56,2,54,15,45.0,531,0.02771984289125607,0.9722801571087439
2021-04-20,56,1,55,14,49.5,536,0.01682929592051394,0.983170704079486
2021-04-22,56,2,54,14,51.0,538,0.021669528850268974,0.978330471149731
2021-04-29,56,1,55,13,57.0,545,0.010929499264991174,0.9890705007350088
2021-05-01,59,0,56,13,53.0,547,0.0,0.8576724842322673
2021-05-04,59,1,58,16,56.0,550,0.003810636360654867,0.9961893636393452
2021-05-06,59,1,58,16,58.0,552,0.012810438320082862,0.9871895616799171
2021-05-10,59,1,58,16,60.0,556,0.012700485680319559,0.9872995143196804
2021-05-11,58,1,57,16,58.5,557,0.005984045715952857,0.9940159542840471
2021-05-12,58,1,57,15,57.0,558,0.018150698116113136,0.9818493018838869
2021-05-13,58,1,57,15,57.0,559,0.02973895083595864,0.9702610491640413
2021-05-14,58,1,57,15,54.5,560,0.006215121718252177,0.9937848782817478
2021-05-19,58,1,57,14,56.0,565,0.008143365224352665,0.9918566347756473
2021-05-21,58,1,57,14,54.5,567,0.012516963779859546,0.9874830362201404
2021-05-24,58,1,57,13,54.0,570,0.06761840847619628,0.9323815915238037
2021-05-25,58,1,57,13,54.0,571,0.011252787776489808,0.9887472122235101
2021-05-28,58,1,57,13,57.0,574,0.016946969542906337,0.9830530304570937
2021-05-31,58,1,57,13,60.0,577,0.011527846530457249,0.9884721534695428
2021-06-01,59,1,57,13,61.0,578,0.00851026905799665,0.9759710050127154
