date,prior_market_cap,price_effect,new_issuance,removed_capital,other_adjustments,total_market_cap,reconciliation_difference,reconciles
2016-11-01,0.0,0.0,77700.0,0.0,0.0,77700.0,0.0,True
2017-11-01,77700.0,0.0,115000.0,0.0,0.0,192700.0,0.0,True
2018-03-01,192700.0,0.0,425000.0,0.0,0.0,617700.0,0.0,True
2018-07-01,617700.0,0.0,350000.0,0.0,0.0,967700.0,0.0,True
2018-08-01,967700.0,0.0,495000.0,0.0,0.0,1462700.0,0.0,True
2018-10-18,1462700.0,55000.0,0.0,0.0,0.0,1517700.0,0.0,True
2018-11-01,1517700.0,0.0,38000.0,0.0,0.0,1555700.0,0.0,True
2018-11-29,1555700.0,0.0,0.0,0.0,0.0,1555700.0,0.0,True
2018-12-01,1555700.0,0.0,347000.0,0.0,0.0,1902700.0,0.0,True
2018-12-10,1902700.0,10000.0,0.0,0.0,0.0,1912700.0,0.0,True
2019-01-01,1912700.0,0.0,84000.0,0.0,0.0,1996700.0,0.0,True
2019-01-29,1996700.0,-249.9999999999858,0.0,0.0,0.0,1996450.0,0.0,True
2019-02-21,1996450.0,0.0,0.0,0.0,0.0,1996450.0,0.0,True
2019-03-01,1996450.0,0.0,210000.0,0.0,0.0,2206450.0,0.0,True
2019-03-05,2206450.0,0.0,0.0,0.0,0.0,2206450.0,0.0,True
2019-04-01,2206450.0,0.0,424500.0,0.0,0.0,2630950.0,0.0,True
2019-04-25,2630950.0,-19750.000000000015,0.0,0.0,0.0,2611200.0,0.0,True
2019-05-01,2611200.0,0.0,82500.0,0.0,0.0,2693700.0,0.0,True
2019-05-30,2693700.0,0.0,0.0,0.0,0.0,2693700.0,0.0,True
2019-06-20,2693700.0,0.0,0.0,0.0,0.0,2693700.0,0.0,True
2019-07-11,2693700.0,9300.000000000011,0.0,0.0,0.0,2703000.0,0.0,True
2019-07-16,2703000.0,-50000.0,0.0,0.0,0.0,2653000.0,0.0,True
2019-08-29,2653000.0,5000.0,0.0,0.0,0.0,2658000.0,0.0,True
2019-09-01,2658000.0,0.0,675000.0,0.0,0.0,3333000.0,0.0,True
2019-09-05,3333000.0,2000.0,0.0,0.0,0.0,3335000.0,0.0,True
2019-09-19,3335000.0,200.00000000000284,0.0,0.0,0.0,3335200.0,0.0,True
2019-10-03,3335200.0,-80000.0,0.0,0.0,0.0,3255200.0,0.0,True
