asset_id,bid_ask_spread_pct,turnover,days_since_last_trade,days_with_zero_trades,realized_volatility,max_drawdown,return_since_offering,stale_mark_flag
rally-00mouton,,0.0,1767,20,2.425176387501756,-0.46071428571428574,-0.41481481481481475,True
rally-03tache,,0.0,1930,21,1.5208410660921012,-0.19000000000000006,-0.19000000000000006,True
rally-05latour,,0.0,2049,23,2.0233510467022775,-0.30722891566265065,0.26020408163265296,True
rally-06brm,,0.0,1965,21,2.5094203292026913,-0.42713567839195976,-0.17500000000000004,True
rally-09beaux,,0.0,1901,21,3.2614442599295907,-0.34558823529411764,0.08000000000000007,True
rally-09rbleroy,,0.0,1637,19,0.9328640423493781,-0.1312910284463895,-0.16000000000000003,True
rally-11belair,,0.0,1852,21,1.2038967990760236,-0.2010309278350515,-0.2272727272727273,True
rally-13beaux,,0.0,1986,22,3.5283617222346297,-0.33644859813084116,0.56,True
rally-14drc,,0.0,2049,23,1.7391784752573833,-0.2962962962962963,-0.033333333333333326,True
rally-16petrus,,0.0,1949,22,1.4377338389740877,-0.19999999999999996,-0.1923076923076923,True
rally-16screag,,0.0,2056,22,0.7277499674213118,-0.2517899761336515,-0.19615384615384612,True
rally-17dujac,,0.0,1872,15,4.538998101867735,-0.5233333333333333,0.17500000000000004,True
rally-59bond,,0.0,1868,20,3.9735566545590313,-0.6758620689655173,-0.4375,True
rally-59jfk,,0.0,1972,22,2.9692568929619365,-0.5958333333333334,-0.42307692307692313,True
rally-62bond,,0.0,1908,21,2.5025873017648954,-0.4736842105263158,-0.5583333333333333,True
rally-79stella,,0.0,1935,22,3.7677609627439113,-0.4244604316546763,0.18000000000000016,True
rally-7orlex,,0.0,2273,10,2.5004382319298117,-0.39,-0.025000000000000022,True
rally-93daytona,,0.0,2035,23,2.310834505004421,-0.41400000000000003,-0.13809523809523805,True
rally-aghowl,,0.0,2231,26,7.41318280798882,-0.8461538461538461,0.026315789473684292,True
rally-alice,,0.0,2007,22,5.620253705105401,-0.627906976744186,1.0,True
rally-anmlfarm,,0.0,1986,22,3.206183051513103,-0.5714285714285714,1.3449999999999998,True
rally-aproak,,0.0,2252,5,1.7517377184422094,-0.45270270270270274,-0.4580000000000001,True
rally-birkinblu,,0.0,2287,20,1.7680069947933612,-0.5509745127436283,-0.4672413793103448,True
rally-birkinbor,,0.0,2070,22,3.0780828321761025,-0.595,-0.35238095238095235,True
rally-birkintan,,0.0,1402,16,2.4496849916524126,-0.375,-0.08571428571428563,True
rally-bond1,,0.0,2126,24,1.5793953116493673,-0.6420927467300832,-0.6128205128205129,True
rally-bondwatch,,0.0,1392,16,2.3124901852194206,-0.2727272727272727,-0.48750000000000004,True
rally-bradbury,,0.0,1392,16,2.8932034020294988,-0.4475138121546962,-0.4444444444444444,True
rally-brosgrimm,,0.0,1651,20,3.080846272917964,-0.3811881188118812,-0.2592592592592593,True
