ticker,name,category,subcategory,status,metric,value,source_url,notes,last_updated
ANDYPELE,1977 Andy Warhol Pelé Polaroid,art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
GRATEFUL1,1966 Grateful Dead Skeleton and Roses Poster,art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
HIRST1,"Damien Hirst, The Currency, Painting",art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
SACHS1,Tom Sachs Rocket Factory “Game Changer”,art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
WARHOL1,"1967 Andy Warhol Marilyn Monroe Print, Signed",art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
WARHOL2,"1969 Andy Warhol Campbell’s Soup Print, Signed",art,art,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
CATCHER,J.D. Salinger's The Catcher in the Rye,books,rare books,exited,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
EINSTEIN,"Albert Einstein's Philosopher-Scientist, Signed First Edition",books,rare books,exited,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
FEDERAL,"Hamilton, Madison, and Jay's The Federalist, First Edition",books,rare books,exited,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
GATSBY,The Great Gatsby (Signed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
HOBBIT,"J.R.R. Tolkien's The Hobbit, First Edition",books,rare books,exited,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,trading,data_completeness,0.0,,"Missing live price, offering cap, comps, or robust NAV confidence.",2026-07-02
