asset_id,ticker,name,category,subcategory,underlying_collectible,significance,publisher,publication_year,issue_number,grade,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_price_per_share,exit_market_cap_usd,total_return_at_exit,source_notes,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,comp_count,top_comp_count,median_comp_sale_usd,mean_comp_sale_usd,estimate_weighted_value_usd,estimated_nav_usd,nav_low_usd,nav_high_usd,nav_confidence,discount_to_secondary_nav,premium_to_offering,rally_return_since_offering,comp_market_momentum_90d,comp_market_momentum_180d,comp_market_momentum_365d,liquidity_score,mispricing_score
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,,,,,,,2000.0,,,Chateau Mouton Rothschild,,2021-04-01,27000.0,15800.0,,7.9,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-04.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.41481481481481486,-0.41481481481481486,,,,0.45,0.0
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,,,,,,,2003.0,,,Domaine de la Romanee-Conti La Tache,,2020-11-01,78000.0,63180.0,,4.05,,,15600.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.18999999999999995,-0.18999999999999995,,,,0.45,0.0
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,,,,,,,2005.0,,,Chateau Latour,,2020-09-01,9800.0,12350.0,,12.35,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.26020408163265296,0.26020408163265296,,,,0.45,0.0
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,,,,,,,2006.0,,,Giacomo Conterno Barolo Riserva Monfortino,,2020-12-01,18500.0,15263.0,,8.25,,,1850.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.17497297297297298,-0.17497297297297298,,,,0.45,0.0
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,,,,,,,2009.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2021-01-01,34000.0,36720.0,,5.4,,,6800.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-01.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.08000000000000007,0.08000000000000007,,,,0.45,0.0
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,,,,,,,2009.0,,,Domaine Leroy Richebourg,,2021-08-01,107500.0,90300.0,,21.0,,,4300.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-08.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.16000000000000003,-0.16000000000000003,,,,0.45,0.0
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,,,,,,,2011.0,,,Domaine du Comte Liger-Belair Vosne-Romanee Aux Reignots,,2021-03-01,22000.0,17000.0,,8.5,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-03.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.2272727272727273,-0.2272727272727273,,,,0.45,0.0
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,,,,,,,2013.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2020-11-01,25500.0,39780.0,,7.8,,,5100.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.56,0.56,,,,0.45,0.0
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,,,,,,,2014.0,,,Domaine de la Romanee-Conti Assortment,,2020-09-01,54000.0,52200.0,,52.2,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.033333333333333326,-0.033333333333333326,,,,0.45,0.0
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,,,,,,,2016.0,,,Chateau Petrus,,2020-09-01,46800.0,37800.0,,4.2,,,9000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.1923076923076923,-0.1923076923076923,,,,0.45,0.0
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,,,,,,,2016.0,,,Screaming Eagle,,2020-09-01,39000.0,31350.0,,31.35,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.19615384615384612,-0.19615384615384612,,,,0.45,0.0
rally-17dujac,17DUJAC,2017 Domaine Dujac Wine Collection,wine and whiskey,wine,,,,,,,,,2017.0,,,Domaine Dujac Wine Collection,,2021-03-01,26000.0,30550.0,,9.4,,,3250.0,,exited,2025-05-13,10.923077,35500.0,0.3653846153846154,Exited wine asset; final realized buyout displays approximately $10.92/share.,inactive,buyout,completed,2025-05-13,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.17500000000000004,0.17500000000000004,,,,0.45,0.0
rally-59bond,59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,,,,,,,,,,,,Ian Fleming - Goldfinger (Dedication Copy),,2021-02-01,82000.0,46125.0,,4.5,,,10250.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-02.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.4375,-0.4375,,,,0.45,0.0
rally-59jfk,59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,,,,,,,,,,,,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),,2020-11-01,26000.0,15000.0,,7.5,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.42307692307692313,-0.42307692307692313,,,,0.45,0.0
rally-62bond,62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,,,,,,,,,,,,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),,2020-12-01,93000.0,41075.0,,2.65,,,15500.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.5583333333333333,-0.5583333333333333,,,,0.45,0.0
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,,,,,,,Rolex,,1979.0,,,Coral Stella Dial Day-Date,,2020-10-01,69000.0,81420.0,,5.9,,,13800.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-10.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.17999999999999994,0.17999999999999994,,,,0.45,0.0
rally-7orlex,70RLEX,1970 Rolex Watch,watches,rolex,,,,,,,Rolex,,1970.0,,,Watch,,2019-11-01,20000.0,19500.0,,19.5,,,1000.0,,exited,2023-12-12,30.0,30000.0,0.5,"Exited via buyout for $30,000 / $30.00 per share.",inactive,buyout,completed,2023-12-12,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.025000000000000022,-0.025000000000000022,,,,0.45,0.0
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,,,,,,,Rolex,Daytona,1993.0,,,Zenith,,2020-09-01,42000.0,36200.0,,18.1,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.13809523809523805,-0.13809523809523805,,,,0.45,0.0
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,,,,,,,,,,,,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),,2020-03-01,19000.0,19500.0,,39.0,,,500.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-03.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.026315789473684292,0.026315789473684292,,,,0.45,0.0
rally-alice,ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,,,,,,,,,,,,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),,2020-09-01,12000.0,24000.0,,2.0,,,12000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,1.0,1.0,,,,0.45,0.0
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,,,,,,,,,,,,George Orwell - Animal Farm (First Edition),,2020-11-01,10000.0,23450.0,,23.45,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,1.3450000000000002,1.3450000000000002,,,,0.45,0.0
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,,,,,,,Audemars Piguet,Royal Oak,,,,,,2019-12-01,75000.0,40650.0,,40.65,,,1000.0,,exited,2021-06-30,110.0,110000.0,0.46666666666666656,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately.",inactive,buyout,completed,2021-06-30,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.45799999999999996,-0.45799999999999996,,,,0.45,0.0
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,,,,,,,,,,Barosaurus Skeleton,,2025-09-01,12500000.0,,,,,,200000.0,,exited,,,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,inactive,other_exit,completed,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,,,,,,,Hermes,Birkin,,25,Lizard,Blue,,2019-11-01,58000.0,30900.0,,30.9,,,1000.0,,exited,2025-04-10,68.0,68000.0,0.17241379310344818,Exited via buyout. Submitted offering_date was 2019-11.,inactive,buyout,completed,2025-04-10,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.4672413793103448,-0.4672413793103448,,,,0.45,0.0
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,,,,,,,Hermes,Birkin,,35,Crocodile,Bordeaux,,2020-02-01,52500.0,34000.0,,17.0,,,2000.0,,buyout_pending,,,,,Currently trading. Submitted offering_date was 2020-02.,halted,buyout_offer,pending,,2026-08-09T00:00:00Z,,24.5,49000.0,17.0,2026-06-26,0.4411764705882353,,,,,,Pending offer metadata; not an executed trade or realized exit.,0,0,,,,,,,0.0,,-0.35238095238095235,-0.35238095238095235,,,,0.45,0.0
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,,,,,,,Hermes,Birkin,,30,Ostrich,Tangerine,,2020-06-01,28000.0,25600.0,,25.6,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.08571428571428574,-0.08571428571428574,,,,0.45,0.0
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,,,,,,,,,,Ian Fleming - Casino Royale (First Edition),,2020-06-01,39000.0,15100.0,,15.1,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.6128205128205129,-0.6128205128205129,,,,0.45,0.0
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,2022-01-01,80000.0,41000.0,,2.05,,,20000.0,,trading,,,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.48750000000000004,-0.48750000000000004,,,,0.45,0.0
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,,,,,,,,,,Ray Bradbury - Fahrenheit 451 (Signed First Edition),,2022-02-01,18000.0,10000.0,,5.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-02.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.4444444444444444,-0.4444444444444444,,,,0.45,0.0
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,,,,,,,,,,Grimms' Fairy Tales (Inscribed),,2021-05-01,135000.0,100000.0,,20.0,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-05.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.2592592592592593,-0.2592592592592593,,,,0.45,0.0
