asset_id,ticker,exit_type,exit_status,sale_date,exit_effective_date,settlement_date,exit_price_per_share,exit_total_value,shares_at_exit,realized_return,source_reference,notes,is_confirmed
rally-17dujac,17DUJAC,buyout,settled,2025-05-13,2025-05-13,2025-05-13,10.923077,35500.0,3250.0,0.3653846153846154,Rally App,Exited wine asset; final realized buyout displays approximately $10.92/share.,True
rally-7orlex,70RLEX,buyout,settled,2023-12-12,2023-12-12,2023-12-12,30.0,30000.0,1000.0,0.5,Rally App,"Exited via buyout for $30,000 / $30.00 per share.",True
rally-aproak,APROAK,buyout,settled,2021-06-30,2021-06-30,2021-06-30,110.0,110000.0,1000.0,0.46666666666666656,Rally App,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately.",True
rally-birkinblu,BIRKINBLU,buyout,settled,2025-04-10,2025-04-10,2025-04-10,68.0,68000.0,1000.0,0.17241379310344818,Rally App,Exited via buyout. Submitted offering_date was 2019-11.,True
rally-faubourg,FAUBOURG,buyout,settled,2023-05-30,2023-05-30,2023-05-30,87.5,175000.0,2000.0,0.16666666666666674,Rally App,"Exited via buyout for $175,000 / $87.50 per share.",True
rally-faubourg2,FAUBOURG2,buyout,settled,2025-01-06,2025-01-06,2025-01-06,16.5,181500.0,11000.0,0.10000000000000009,Rally App,Exited via buyout. Submitted offering_date was 2021-01.,True
rally-catcher,CATCHER,other,settled,2026-07-20,2026-07-20,2026-07-20,27.95,13975.0,500.0,0.11799999999999988,User-provided exited Books asset master update 2026-07-27,Exited Books asset; no quarterly price observations added.,True
rally-einstein,EINSTEIN,other,settled,2026-02-09,2026-02-09,2026-02-09,8.27,16540.0,2000.0,0.14068965517241372,User-provided exited Books asset master update 2026-07-27,Exited Books asset; no quarterly price observations added.,True
rally-federal,FEDERAL,other,settled,2024-09-19,2024-09-19,2024-09-19,19.5,195000.0,10000.0,0.30000000000000004,User-provided exited Books asset master update 2026-07-27,Exited Books asset; no quarterly price observations added.,True
rally-hobbit,HOBBIT,other,settled,2024-11-13,2024-11-13,2024-11-13,9.0,90000.0,10000.0,0.125,User-provided exited Books asset master update 2026-07-27,Exited Books asset; no quarterly price observations added.,True
rally-potter,POTTER,other,settled,2024-02-13,2024-02-13,2024-02-13,44.16666666666666,132500.0,3000.0,0.8402777777777777,User-provided exited Books asset master update 2026-07-27,Exited Books asset; no quarterly price observations added. Exact total exit value is authoritative; per-share exit price is derived from it.,True
