asset_id,ticker,investment_score,valuation_score,liquidity_score,category_momentum_score,rarity_score,data_quality_score,exit_probability_score
rally-00mouton,00MOUTON,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-03tache,03TACHE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-05latour,05LATOUR,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-06brm,06BRM,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-09beaux,09BEAUX,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-09rbleroy,09RBLEROY,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-11belair,11BELAIR,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-13beaux,13BEAUX,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-14drc,14DRC,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-16petrus,16PETRUS,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-16screag,16SCREAG,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-17dujac,17DUJAC,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-59bond,59BOND,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-59jfk,59JFK,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-62bond,62BOND,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-79stella,79STELLA,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-7orlex,70RLEX,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-93daytona,93DAYTONA,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-aghowl,AGHOWL,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-alice,ALICE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-anmlfarm,ANMLFARM,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-aproak,APROAK,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-baro,BARO,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-birkinblu,BIRKINBLU,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-birkinbor,BIRKINBOR,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-birkintan,BIRKINTAN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-bond1,BOND1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-bondwatch,BONDWATCH,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-bradbury,BRADBURY,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-brosgrimm,BROSGRIMM,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-churchill,CHURCHILL,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-congress,CONGRESS,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-deaton,DEATON,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-dimaggio2,DIMAGGIO2,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-dominos,DOMINOS,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-dune,DUNE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-faubourg,FAUBOURG,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-faubourg2,FAUBOURG2,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-frost,FROST,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-gatsby,GATSBY,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-gmtblack1,GMTBLACK1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-grapes,GRAPES,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-gwtw,GWTW,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-hgwells,HGWELLS,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-himalaya,HIMALAYA,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-holmes,HOLMES,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-huckfinn,HUCKFINN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-irobot,IROBOT,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-jekyll,JEKYLL,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-karuizawa,KARUIZAWA,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-keller,KELLER,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-kerouac,KEROUAC,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-lotf,LOTF,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-lotr,LOTR,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-macallan1,MACALLAN1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-macallan2,MACALLAN2,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-macallan3,MACALLAN3,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-marx,MARX,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-megalodon,MEGALODON,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-mobydick,MOBYDICK,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-mosasaur,MOSASAUR,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-newton,NEWTON,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-newworld,NEWWORLD,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-pappy1,PAPPY1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-picnic,PICNIC,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-rabbit,RABBIT,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-riviera,RIVIERA,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-rlexpepsi,RLEXPEPSI,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-roosevelt,ROOSEVELT,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-shkspr4,SHKSPR4,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-smurf,SMURF,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-snoopy,SNOOPY,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-soblack,SOBLACK,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-steg,STEG,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-tkam,TKAM,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-tornek,TORNEK,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-treasure,TREASURE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-twocities,TWOCITIES,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-ulysses,ULYSSES,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-walden,WALDEN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-wildthing,WILDTHING,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-wzrdofoz,WZRDOFOZ,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-yoko,YOKO,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-93xj1,93XJ1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-83fb1,83FB1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-63cc1,63CC1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-65fm1,65FM1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-55ps1,55PS1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-65ag1,65AG1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-82av1,82AV1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-94fs1,94FS1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-94dv1,94DV1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
